venue_key,venue_name,city,country,capacity,capacity_values,needs_review,source
RIDGLEA THEATER,Ridglea Theater,"FORT WORTH, TX",USA,1200,1200,False,excel_pink_cell
RIVER ROCK CASINO RESORT,RIVER ROCK CASINO RESORT,"VANCOUVER, BC",CANADA,1150,1150,False,excel_pink_cell
RIYADH AIR METROPOLITANO,RIYADH AIR METROPOLITANO,MADRID,SPAIN,75000,75000,False,excel_pink_cell
ROD LAVER ARENA,ROD LAVER ARENA,MELBOURNE,AUSTRALIA,16183,15000|16183,False,excel_pink_cell
ROGERS ARENA,ROGERS ARENA,"VANCOUVER, BC",CANADA,12668,12668,False,excel_pink_cell
ROGERS STADIUM,ROGERS STADIUM,TORONTO,CANADA,65000,50424|65000,False,excel_pink_cell
S20 LAND,S20 LAND,BANGKOK,THAILAND,35000,35000,False,excel_pink_cell
SAALCHEN,SAALCHEN,BERLIN,GERMANY,580,580,False,excel_pink_cell
SALA NELSON PEREIRA DOS SANTOS,Sala Nelson Pereira dos Santos,RIO DE JANEIRO,BRAZIL,400,400,False,excel_pink_cell
SALLE DE SPECTACLES,Salle De Spectacles,RENENS,SWITZERLAND,700,700,False,excel_pink_cell
SALLE PLEYEL,Salle Pleyel,PARIS,FRANCE,2000,2000,False,excel_pink_cell
SCOTIABANK ARENA,SCOTIABANK ARENA,"TORONTO, ON",CANADA,10996,10996,False,excel_pink_cell
SINGAPORE INDOOR STADIUM,Singapore Indoor Stadium,SINGAPORE,SINGAPORE,12000,12000,False,excel_pink_cell
SINGAPORE NATIONAL STADIUM,Singapore National Stadium,SINGAPORE,SINGAPORE,55000,55000,False,excel_pink_cell
SM MALL OF ASIA ARENA,SM Mall of Asia Arena,MANILA,PHILIPPINES,15000,15000,False,excel_pink_cell
SMART ARANETA COLISEUM,Smart Araneta Coliseum,MANILA,PHILIPPINES,20000,20000,False,excel_pink_cell
SO36,SO36,BERLIN,GERMANY,800,800,False,excel_pink_cell
SOFI STADIUM,SOFI STADIUM,"LOS ANGELES, CA",USA,72000,70000|72000,False,excel_pink_cell
SOLDIER FIELD,SOLDIER FIELD,"CHICAGO, IL",USA,72000,50424|72000,False,excel_pink_cell
SOUTH SIDE MUSIC HALL,South Side Music Hall,"DALLAS, TX",USA,1500,1500,False,excel_pink_cell
SPARK ARENA,SPARK ARENA,AUCKLAND,NEW ZELAND,12000,12000,False,excel_pink_cell
STADE DE FRANCE,STADE DE FRANCE,PARIS,FRANCE,72000,50424|72000,False,excel_pink_cell
STADIUM MERDEKA,Stadium Merdeka,KUALA LUMPUR,MALAYSIA,20000,20000,False,excel_pink_cell
STANFORD STADIUM,STANFORD STADIUM,"STANFORD, CA",USA,50424,50424,False,excel_pink_cell
STATE FARM ARENA,STATE FARM ARENA,"ATLANTA, GA",USA,16888,16888,False,excel_pink_cell
STUDIO CITY EVENT CENTER,Studio City Event Center,MACAU,CHINA,5000,5000,False,excel_pink_cell
STUDIO STAGE,Studio Stage,SAO PAULO,BRAZIL,1500,1500,False,excel_pink_cell
SUN BOWL STADIUM,SUN BOWL STADIUM,"EL PASO, TX",USA,51500,51500,False,excel_pink_cell
SUPERNOVA KAWASAKI,SUPERNOVA KAWASAKI,KANAGAWA,JAPAN,500,500,False,excel_pink_cell
SYDNEY EVENT CENTRE,Sydney Event Centre,SYDNEY,AUSTRALIA,3000,3000,False,excel_pink_cell
TAIPEI ARENA,Taipei Arena,TAIPEI,TAIWAN,10000,10000,False,excel_pink_cell
TAIPEI CLAPPER STUDIO,TAIPEI CLAPPER STUDIO,TAIPEI,TAIWAN,700,700,False,excel_pink_cell
TAIPEI DOME,Taipei Dome,TAIPEI,TAIWAN,58000,58000,False,excel_pink_cell
TD COLISEUM,TD COLISEUM,"HAMILTON, ON",CANADA,17383,17383,False,excel_pink_cell
TEATRO CA660,Teatro CA660,CHILE,SANTIAGO,878,878,False,excel_pink_cell
TEATRO COLISEO,Teatro Coliseo,SANTIAGO,CHILE,2500,2500,False,excel_pink_cell
TEATRO PERUANO JAPONES,Teatro Peruano Japones,LIMA,PERU,1025,1025,False,excel_pink_cell
THE GARAGE,THE GARAGE,LONDON,UNITED KINGDOM,750,600|750,False,excel_pink_cell
THE JACKSONVILLE CENTER FOR THE PERFORMING ARTS TERRY THEATER,The Jacksonville Center for the Performing Arts - Terry Theater,"JACKSONVILLE, FL",USA,609,609,False,excel_pink_cell
THE KASABLANKA HALL,THE KASABLANKA HALL,JAKARTA,INDONESIA,5500,5500,False,excel_pink_cell
